user_id,基本面,技術面,籌碼面,消息面,得分,prefer
4402,3,2,0,3,2,['消息面']
4403,11,2,1,3,11,['消息面']
4404,3,5,0,3,5,['消息面']
4405,5,6,4,3,12,['消息面']
4406,2,4,1,4,5,"['籌碼面', '消息面']"
4407,2,2,0,2,0,"['籌碼面', '消息面']"
4408,2,2,0,2,0,"['籌碼面', '消息面']"
4409,3,5,0,3,5,['消息面']
4410,2,2,0,2,0,"['籌碼面', '消息面']"
4411,15,5,6,5,25,['消息面']
4412,6,4,1,3,8,['消息面']
4413,3,5,1,4,7,['消息面']
4414,2,2,0,2,0,"['籌碼面', '消息面']"
4415,9,5,4,4,16,['消息面']
4416,2,2,0,2,0,"['籌碼面', '消息面']"
4417,3,5,0,3,5,['消息面']
4418,10,4,4,4,16,"['技術面', '籌碼面', '消息面']"
4419,3,5,0,3,5,['消息面']
4420,7,4,5,4,14,['消息面']
4421,3,5,2,4,8,['消息面']
4422,3,5,0,3,5,['消息面']
4423,2,2,0,2,0,"['籌碼面', '消息面']"
4424,4,3,2,3,6,"['籌碼面', '消息面']"
4425,6,5,3,4,12,['消息面']
4426,8,5,1,5,13,"['籌碼面', '消息面']"
4427,0,4,1,3,5,['消息面']
4428,2,5,0,3,4,['消息面']
4429,3,5,0,3,5,['消息面']
4430,10,4,6,5,19,['消息面']
4431,8,2,1,3,8,['消息面']
4432,3,2,3,3,5,"['籌碼面', '消息面']"
4433,2,2,0,2,0,"['籌碼面', '消息面']"
4434,3,5,1,4,7,['消息面']
4435,2,2,0,2,0,"['籌碼面', '消息面']"
4436,5,5,8,3,15,['消息面']
4437,3,5,0,3,5,['消息面']
4438,4,5,2,4,9,['消息面']
4439,8,4,2,4,12,"['籌碼面', '消息面']"
4440,2,2,0,2,0,"['籌碼面', '消息面']"
4441,10,5,1,3,13,['消息面']
4442,3,5,0,3,5,['消息面']
4443,2,2,0,2,0,"['籌碼面', '消息面']"
4444,2,2,0,2,0,"['籌碼面', '消息面']"
4445,2,2,0,2,0,"['籌碼面', '消息面']"
4446,3,5,0,3,5,['消息面']
4447,2,2,0,2,0,"['籌碼面', '消息面']"
4448,2,3,2,3,4,"['籌碼面', '消息面']"
4449,3,5,0,3,5,['消息面']
4450,14,5,5,5,23,"['技術面', '籌碼面', '消息面']"
4451,5,5,0,7,11,['消息面']
4452,5,5,0,3,7,['消息面']
4453,9,5,0,3,11,['消息面']
4454,6,2,2,3,7,['消息面']
4455,7,5,6,4,16,['消息面']
4456,5,6,2,5,12,['消息面']
4457,17,4,1,4,20,"['籌碼面', '消息面']"
4458,2,2,0,2,0,"['籌碼面', '消息面']"
4459,3,4,0,3,4,['消息面']
4460,3,5,1,4,7,['消息面']
4461,3,4,0,3,5,['消息面']
4462,2,2,0,3,1,['消息面']
4463,4,5,4,5,12,"['籌碼面', '消息面']"
4464,11,7,6,3,21,['消息面']
4465,3,5,1,4,7,['消息面']
4466,2,4,0,3,3,['消息面']
4467,3,5,0,3,5,['消息面']
4468,16,6,6,7,29,['消息面']
4469,3,5,0,3,5,['消息面']
4470,7,5,2,4,12,['消息面']
4471,2,2,0,2,0,"['籌碼面', '消息面']"
4472,3,5,1,4,7,['消息面']
4473,3,2,1,2,2,"['籌碼面', '消息面']"
4474,2,2,6,2,6,['消息面']
4475,9,5,3,4,15,['消息面']
4476,10,5,1,5,15,"['籌碼面', '消息面']"
4477,3,2,0,3,2,['消息面']
4478,4,5,4,3,10,['消息面']
4479,11,2,1,4,12,['消息面']
4480,3,5,1,4,7,['消息面']
4481,2,4,0,3,3,['消息面']
4482,2,5,0,3,4,['消息面']
4483,7,5,0,3,9,['消息面']
4484,5,5,1,4,9,['消息面']
4485,2,2,0,2,0,"['籌碼面', '消息面']"
4486,2,4,1,4,5,"['籌碼面', '消息面']"
4487,3,5,0,3,5,['消息面']
4488,2,2,0,2,0,"['籌碼面', '消息面']"
4489,2,2,0,3,1,['消息面']
4490,2,2,0,2,0,"['籌碼面', '消息面']"
4491,9,5,1,4,13,['消息面']
4492,2,2,0,2,0,"['籌碼面', '消息面']"
4493,2,2,0,2,0,"['籌碼面', '消息面']"
4494,3,5,0,4,6,['消息面']
4495,2,2,0,3,1,['消息面']
4496,3,6,6,3,12,"['籌碼面', '消息面']"
4497,7,5,0,3,9,['消息面']
4498,5,2,0,3,4,['消息面']
4499,2,5,0,3,4,['消息面']
4500,3,5,0,3,5,['消息面']
4501,2,2,0,2,0,"['籌碼面', '消息面']"
4502,3,5,1,4,7,['消息面']
4503,3,4,0,3,4,['消息面']
