"證券名稱","證券代碼","殖利率","本益比","股價淨值比","CAPM_Beta.一年"
"宇瞻","8271",5.48,10.12,1.59,1.3619
"安泰銀","2849",7.35,12.83,0.79,0.8403
"安集","6477",5.26,8.6,0.95,0.9021
"安馳","3528",6.63,13.61,1.69,0.4051
"尖點","8021",6.38,14.03,0.63,1.1022
"州巧","3543",3.17,15.37,0.47,0
"帆宣","6196",3.85,17.98,2.18,1.577
"年興","1451",3.95,0,0.42,0.7271
"成霖","9934",4.86,13.14,0.79,0.9564
"旭隼","6409",3.54,26.19,11.44,0.5016
"旭富","4119",4.38,18.45,3.03,0.7258
"旭暉應材","6698",3.4,15.02,2.32,1.712
"江申","1525",4.9,10.34,0.73,0.6259
"百一","6152",0,69.75,0.69,1.3596
"百和","9938",4.91,11.96,1.96,1.2271
"百和興業-KY","8404",2.14,24.65,1.81,0.9373
"百容","2483",5.62,12.45,0.82,0.7384
"百達-KY","2236",2.38,19.55,0.66,0.9776
"至上","8112",8.48,9.34,1.55,0.7213
"艾美特-KY","1626",4.03,13.48,1.13,0.6241
"艾笛森","3591",0.83,0,0.59,1.1678
"伸興","1558",6.93,11.38,1.61,0.5235
"佐登-KY","4190",5.22,9.92,2.31,1.3699
"利奇","1517",2.79,119.5,0.52,0.618
"利華","1423",1.16,0,0.61,0.2714
"利勤","4426",4,13.27,1.45,1.4816
"夆典","3052",4.81,11.95,0.73,0.8417
"宏正","6277",5.89,14.88,2.53,0.6115
"宏全","9939",6,10.59,1.13,0.992
"宏旭-KY","2243",0,0,0.52,0.8193
"宏亞","1236",2.53,79,0.76,0.626
"宏和","1446",1.15,0,2.3,1.2865
"宏洲","1413",0,13.17,0.75,0.7357
"宏致","3605",3.37,8.76,0.64,1.4336
"宏泰","1612",4.98,15.7,0.68,0.7896
"宏益","1452",7.19,12.56,0.89,0.6003
"宏盛","2534",3.04,7.28,0.7,0.946
"宏普","2536",4.85,11.26,0.57,0.6639
"宏碁","2353",4.92,17.99,0.82,0.8385
"宏達電","2498",1.3,0,0.68,0.8491
"宏遠","1460",2.68,0,0.75,0.9763
"宏齊","6168",8.55,167.14,0.91,1.1642
"宏璟","2527",9.28,6.83,0.63,0.8521
"希華","2484",4.74,26.38,1.09,1.0255
"廷鑫","2358",1.65,0,0.92,0.649
"志信","2611",7.01,0,0.42,0.3863
"志超","8213",6.69,8.19,0.78,1.125
"志聖","2467",9.24,12.94,1.61,0.8373
"志聯","2024",1.24,67.22,1.03,0.4908
"技嘉","2376",5.76,17.08,1.36,0.9467
"杏輝","1734",1.06,235.63,1.14,0.4342
"材料-KY","4763",4.41,16.33,4.28,0.9001
"良得電","2462",2,26.94,1.39,0.3793
"谷崧","3607",3.89,0,0.5,1.3572
"車王電","1533",1.98,12.32,1.01,1.0665
"辛耘","3583",4.36,11.41,1.41,1.5335
"迅杰","6243",0,0,1.16,1.1872
"事欣科","4916",9.43,6.6,1.33,1.0538
"亞力","1514",6.52,12.78,1.24,1.0023
"亞太電","3682",0,0,0.7,1.1374
"亞弘電","6201",7.6,12.23,1.21,0.4725
"亞光","3019",2.93,20,1.63,1.6235
"亞泥","1102",7.19,8.03,0.96,0.7922
"亞航","2630",0.57,37.84,1.05,0.9415
"亞崴","1530",5.12,23.82,0.99,0.6128
"亞翔","6139",6.02,11.27,0.73,1.1192
"亞聚","1308",7.01,10.61,0.85,0.7408
"亞德客-KY","1590",1.06,34.4,5.16,1.6623
"亞諾法","4133",0.24,835,2.12,0.1129
"京元電子","2449",5.11,14.14,1.64,0.9634
"京城","2524",0,7.1,0.88,0.4374
"京城銀","2809",5.04,9.88,0.82,0.9832
"京鼎","3413",2.72,18.73,2.84,1.9642
"佰鴻","3031",5.35,11.24,0.97,1.1275
"佳大","2033",2.26,19.64,0.7,0.4658
"佳世達","2352",5.36,8.71,0.92,0.9356
"佳必琪","6197",10.2,12.46,1.18,0.9089
"佳和","1449",0,0,2.26,1.1367
"佳凌","4976",0,0,1.23,1.748
"佳格","1227",4.02,17.53,3.59,0.5232
"佳能","2374",4.46,0,0.49,1.0727
"佳龍","9955",0,157.5,0.95,0.5207
"佳醫","4104",6.25,13.13,0.97,0.4307
"卓越","2496",2.45,13.85,1.34,0.7424
"味王","1203",3.67,14.19,1.3,0.1013
"味全","1201",6.41,7.77,1.51,0.8696
"和大","1536",2.39,32.82,3.25,0.9735
"和成","1810",2.8,55,0.47,0.8692
"和桐","1714",2.14,350.5,0.67,0.5845
"和泰車","2207",2.88,22.53,4.53,1.6482
"和益","1709",4,27.78,0.87,0.6889
"和康生","1783",3.35,26.78,1.9,1.1558
"和椿","6215",3.85,21.67,0.91,1.2285
"和碩","4938",6.96,8.74,1.07,1.1058
"和潤企業","6592",4.15,17.21,1.88,1.2058
"和鑫","3049",3.43,8.1,0.88,1.0918
"固緯","2423",6.67,10.47,1.39,0.7295
"奇力新","2456",3.5,21.51,1.05,1.6424
"奇偶","3356",0,91.36,1.13,1.3449
"奇鋐","3017",3.49,13.76,1.47,1.295
"官田鋼","2017",6.38,0,0.56,0.6667
"定穎","6251",0,35.64,1.41,1.3535
"宜進","1457",8.81,11.02,0.61,0.8643
"居易","6216",6.99,15.2,1.51,0.6803
"岱宇","1598",3.1,18.1,1.8,0.3302
"幸福","1108",2.08,65.45,0.67,0.805
"怡利電","2497",0,0,1.26,0.9689
"怡華","1456",0,29.56,0.61,1.0067
"所羅門","2359",4.51,9.54,0.67,1.0125
"承啟","2425",6.02,22.43,1.55,0.4801
"承業醫","4164",5.67,12.56,0.96,0.9045
"拓凱","4536",6.07,10.38,1.71,1.1686
"旺宏","2337",3.51,20.82,1.93,1.5892
"旺旺保","2816",7.38,5.67,0.74,0.7857
"昆盈","2365",4.99,12.34,0.58,0.7801
"昇貿","3305",5.36,13.04,0.62,0.8734
"昇陽","3266",4.12,20.25,0.83,0.6378
"昇陽半導體","8028",3.22,19.82,2.7,1.5994
"明泰","3380",2.11,47.5,1.14,1.2763
"明基材","8215",3.61,20.75,1.29,1.2141
"易華電","6552",3.64,10.5,2.44,1.6872
"東元","1504",3.82,15.63,0.89,0.51
"東台","4526",1.65,52.83,0.59,0.8485
"東和","1414",3.29,35.71,0.43,0.8186
"東和鋼鐵","2006",6.14,14.1,0.91,0.6207
"東明-KY","5538",5.61,9.66,1.16,0.7591
"東泥","1110",0.65,258.33,1.04,0.2365
"東科-KY","5225",2,5.05,0.83,1.3777
"東哥遊艇","8478",1.65,59.51,1.06,0.9778
"東訊","2321",0,0,1.28,0.4459
"東森","2614",7.97,0,1.15,0.8166
"東華","1418",0,0,0.52,-0.0551
"東陽","1319",5.33,10.04,0.91,1.1144
"東聯","1710",1.97,381.25,0.98,0.927
"東鹼","1708",7.13,17.27,0.8,0.4037
"松翰","5471",4.56,22.71,2.57,0.7311
"欣天然","9918",4.11,22.35,1.96,0.2035
"欣巴巴","9906",0,0,2.06,0.691
"欣欣","2901",1.8,49.33,1.85,0.1479
"欣高","9931",3.53,19.5,1.85,0.1036
"欣陸","3703",8.87,84.58,0.37,0.7339
"欣興","3037",2.94,16.72,1.24,1.8266
"波力-KY","8467",5.62,16.67,1.59,0.9474
"炎洲","4306",2.99,0,0.6,0.5053
"牧德","3563",3.28,15.99,7.14,1.4739
"矽力-KY","6415",0.62,47.58,7.45,1.1635
"矽格","6257",6.24,11.44,1.32,1.2062
"矽統","2363",15.38,0,0.81,0.7875
"矽創","8016",4.8,13.23,2.98,1.5849
"花仙子","1730",5.91,11.84,2.44,0.4316
"迎廣","6117",0,0,1.05,0.6927
"金像電","2368",0,119.38,2.16,1.3491
"金橋","6133",3.7,35.53,0.54,0.608
"金麗-KY","8429",4.34,0,0.19,1.1896
"金寶","2312",2.33,37.79,1.13,1.2926
"長虹","5534",8.88,7.21,1.31,0.6944
"長華","8070",8.43,8.7,1.71,1.0815
"長榮","2603",0,497,0.68,0.9401
"長榮航","2618",2.53,12.07,0.67,1.0082
"長興","1717",5.3,13.27,1.53,0.6128
"阿瘦","8443",1.82,0,0.37,0.8792
"信大","1109",4.85,5.85,0.83,0.8019
"信邦","3023",4.02,17.03,3.85,1.1443
"信昌化","4725",0,0,1.44,1.3187
"信義","9940",4.99,14.06,1.63,0.8289
"信錦","1582",5.88,10.05,1.72,0.8568
"冠西電","2466",0,168.33,2.78,0.3444
"冠星-KY","4439",6.61,9.82,1.63,1.4072
"冠軍","1806",0,0,0.34,0.7744
"冠德","2520",6.13,9.4,0.95,0.9577
"南六","6504",2.06,30.07,5.1,0.1257
"南亞","1303",3.86,19.59,1.31,1.0688
"南亞科","2408",2.55,18.35,1.19,1.6488
"南帝","2108",6.25,9.93,1.69,0.4982
"南染","1410",3.41,28.45,1.69,0.2767
"南茂","8150",6.14,8.25,1.08,1.0196
"南紡","1440",2.4,138.83,0.56,0.8513
"南港","2101",3.2,27.5,2.93,0.5724
"南電","8046",1.04,140.63,1.49,1.4946
"南僑","1702",4.77,10.76,1.7,0.8485
"南緯","1467",0,0,0.97,0.7716
"南寶","4766",4.94,11.92,1.5,0.8088
"厚生","2107",4.66,11.14,0.56,0.7816
"威宏-KY","8442",3.41,12.43,1.42,0.4241
"威致","2028",0,15.67,1.26,0.3532
"威健","3033",4.06,20.14,0.93,0.9246
"威強電","3022",4.5,8.78,0.87,1.1337
"威盛","2388",0,355.56,4.47,1.5305
"客思達-KY","2936",0,0,0.4,0.6412
"帝寶","6605",5.37,11.02,0.55,0.8639
"建大","2106",3.27,21.08,1.14,0.2781
"建國","5515",5.01,14.9,0.61,0.6379
"建通","2460",0,0,0.55,0.7952
"建新國際","8367",4.69,12.21,0.95,0.9806
"建準","2421",5.28,13.99,2.25,1.054
"建碁","3046",3.09,0,1.2,1.3515
"建漢","3062",2.93,85.31,0.82,1.3166
"政伸","8481",5.71,15.35,2.74,0.5582
"星通","3025",2.93,28.29,1.73,1.2302
"映泰","2399",0,223.25,0.8,1.1445
"春雨","2012",7.21,10.41,1.19,0.1939
"春源","2010",3.3,24.59,0.59,0.552
"昭輝","1339",4.98,7.91,0.85,1.3185
"昶和","1468",0,31.9,1.37,0.4118
"柏文","8462",4.49,20.8,4.77,1.1458
"柏承","6141",2.2,4.33,1.16,1.3231
"柏騰","3518",0,0,1.52,1.4118
"洋華","3622",2.62,21.7,0.62,0.9505
"為升","2231",5.17,17.02,4.04,1.6147
"界霖","5285",5.93,17.89,1.6,1.2591
"皇昌","2543",0,66,0.79,0.1338
"皇普","2528",0,0,1.76,0.6951
"皇翔","2545",3.82,785,1.02,0.9513
"皇鼎","5533",3.28,46.21,0.59,0.478
"研揚","6579",5.16,16.67,1.18,0.6359
"研華","2395",3.33,25.21,5.75,0.9169
"秋雨","9929",0,0,2.01,0.0726
"科妍","1786",3.09,28.89,2.57,1.1549
"科定","6655",4.76,20.39,1.3,0.1898
"科風","3043",0,3.21,1.74,0.6005
"科嘉-KY","5215",4.76,15.11,1.94,1.153
"美吉吉-KY","8466",6.46,10.43,1.62,0.7446
"美利達","9914",3.11,16.13,2.93,1.057
"美吾華","1731",4.76,16.58,0.95,0.356
"美亞","2020",8.78,8.14,1.13,0.467
"美律","2439",5.8,10.89,2.16,1.0717
"美食-KY","2723",3.61,16.06,1.47,1.2629
"美時","1795",0,25.64,2.2,1.6673
"美隆電","2477",7.69,9.81,1.27,1.0764
"致伸","4915",5.15,9.79,1.7,1.3927
"致茂","2360",2.29,29.5,3.78,1.4534
"致新","8081",6.05,14.19,2.53,1.2849
"英利-KY","2239",4.58,10,0.59,1.3114
"英業達","2356",5.63,15,1.5,0.762
"英瑞-KY","1592",0,0,0.52,0.5637
"茂林-KY","4935",0.66,46.2,2.57,1.3822
"茂矽","2342",1.17,0,1.87,1.3423
"茂順","9942",6.55,13.03,1.78,0.6439
"虹光","2380",0,0,0.39,0.8616
"虹冠電","3257",7.89,37.84,2.34,0.5852
"虹堡","5258",0,120.79,1.6,1.4785
"虹揚-KY","6573",2.75,0,0.98,0.8652
"飛宏","2457",0,0,0.45,1.3172
"飛捷","6206",6.79,12.87,2.15,0.7659
"首利","1471",0,0,0.5,1.1471
"倉佑","1568",3.61,51.3,0.92,0.6971
"倫飛","2364",0,0,1.5,0.9016
"凌巨","8105",1.1,0,0.5,1.4364
"凌通","4952",6.41,13.71,1.52,0.8389
"凌華","6166",2.45,31.96,3.03,0.5309
"凌陽","2401",2.97,336.67,0.73,1.2196
"凌群","2453",6.23,12.44,0.89,1.075
"夏都","2722",0.9,61.39,1.44,0.2829
"展宇","1776",4.91,20.35,1.21,0.2572
"恩德","1528",1.53,0,0.57,1.008
"悅城","6405",3.77,0,0.47,0.8078
"振樺電","8114",7.47,13.54,2.19,0.9812
"時碩工業","4566",4.74,10.61,1.06,1.2535
"晟鈦","3229",0,0,1.58,0.9951
"晟銘電","3013",2.5,14.46,0.83,0.7787
"根基","2546",8.36,9.47,1.39,0.5985
"格威傳媒","8497",5.21,11.83,3.24,0.0998
"氣立","4555",2.22,81.97,1.46,0.6564
"泰山","1218",3.9,19.21,1.7,0.6762
"泰昇-KY","8480",4.84,14.56,2.9,0.714
"泰鼎-KY","4927",5.56,12.36,1.38,0.8802
"泰碩","3338",2.33,26.79,4.89,1.1966
"泰福-KY","6541",0,0,3.03,1.2322
"泰銘","9927",6.69,12.2,1.18,0.7217
"泰豐","2102",0,0,1.02,0.4136
"浩鑫","2405",0,951,0.98,1.2323
"海光","2038",0,0,0.33,0.8183
"海悅","2348",8.67,7.86,2.52,0.8895
"海華","3694",0,0,1.27,1.0776
"特力","2908",3.83,92.75,1.46,0.3945
"益航","2601",1.07,4.17,0.64,1.0283
"益登","3048",6.23,9.73,1.04,0.8351
"神基","3005",6.49,11.82,1.68,0.7152
"神隆","1789",0.94,106.67,2.22,0.5749
"神腦","2450",5.22,17.48,1.23,0.585
"神達","3706",7.48,11.05,0.79,0.9631
"耿鼎","1524",4.86,9.8,0.63,0.5962
"訊舟","3047",1.94,23.39,0.71,1.3527
"訊芯-KY","6451",3.41,17.82,2.01,1.9344
"訊映","4155",5.42,16.41,1.6,0.9284
"訊連","5203",3.16,25.39,2.31,1.1863
"陞泰","8072",1,0,0.72,0.1076
"高力","8996",3.3,34.24,2.97,1.3624
"高林","2906",2.88,34.67,0.74,0.3706
"高林股","1531",1.67,74.69,0.61,0.9221
"高雄銀","2836",5.5,12.88,0.65,0.6213
"高興昌","2008",0,0,1.01,0.1259
"偉全","1465",9.38,5,0.87,0.387
"偉訓","3032",7.75,10.32,1.31,0.6786
"偉詮電","2436",5.66,14.25,1.56,1.0113
"偉聯","9912",0,0,0.71,0.5934
"健和興","3003",2.74,13.49,1.25,1.1283
"健策","3653",2.39,32.48,4.28,1.7115
"健鼎","3044",5.81,8.83,1.56,1.3567
"動力-KY","6591",3.72,12.32,1.08,1.3945
"商億-KY","8482",6.32,12.2,3.33,0.4739
"啟碁","6285",4.24,15.78,1.42,1.214
"國化","1713",3.41,26.56,1.11,0.3844
"國巨","2327",4.35,21.23,3.19,1.699
"國光生","4142",0,0,2.96,0.2704
"國建","2501",11.73,15.17,0.85,0.927
"國泰金","2882",4.05,8.68,0.71,0.6598
"國產","2504",2.1,14.88,0.81,0.9522
"國票金","2889",7.81,11.41,0.84,0.1236
"國喬","1312",0,6.32,0.54,1.1856
"國揚","2505",2.44,256.25,1.74,0.8568
"國碩","2406",0,12.68,0.88,1.2417
"國精化","4722",7.19,9.75,1,0.4947
"國賓","2704",0,23.33,0.84,0.5127
"國際中橡","2104",1.03,16.25,0.63,0.8091
