證券代碼,證券名稱,本益比,殖利率,股價淨值比,CAPM_Beta.一年
4706,大恭,16.02,3.64,0.91,0.5377
4707,磐亞,13.56,5.11,0.86,0.5121
4711,永純,25.27,4.32,0.78,0.2925
4712,南璋,0,0,1.57,0.8163
4714,永捷,9.67,6.19,1.35,1.1026
4716,大立,33.14,3.51,1.17,0.4935
4721,美琪瑪,18.42,4.54,3.28,1.4876
4726,永昕,0,0,2.64,0.9996
4728,雙美,43.7,1.87,6.47,1.1217
4729,熒茂,0,0,1.3,0.8713
4735,豪展,19.21,3.35,4.86,0.476
4736,泰博,25.78,3.38,3.98,0.7649
4741,泓瀚,22.08,5.76,0.95,0.6565
4743,合一,0,0,4.09,1.0233
4744,皇將,17.32,4.51,1.75,0.6124
4745,合富-KY,9.01,4.98,1.03,1.0585
4747,強生,21.51,3.89,1.64,0.4067
4754,國碳科,16.02,5.47,3.14,0.5499
4760,勤凱,53.53,1.44,4.96,1.537
4767,誠泰科技,12.45,4.18,1.01,0.4101
4803,VHQ-KY,7.18,6.72,1.61,1.4827
4804,大略-KY,108.63,0,0.82,0.547
4806,昇華,0,0,0.85,-0.0455
4903,聯光通,0,0,1.37,0.9527
4905,台聯電,34.38,3.03,0.61,0.5878
4907,富宇,18.59,4.78,1.53,0.9724
4908,前鼎,19.66,2.88,1.96,1.5645
4909,新復興,498.33,2.01,0.55,1.3242
4911,德英,0,0,2.44,0.5559
4924,欣厚-KY,0,0,0.77,0.6112
4931,新盛力,12.39,5.47,1.93,1.3718
4933,友輝,16.64,5.36,0.53,1.1633
4939,亞電,38.19,1.82,0.96,1.5786
4944,兆遠,0,0,2.67,1.2446
4946,辣椒,0,0,4.19,0.9773
4947,昂寶-KY,19.35,3.16,3.2,0.387
4950,牧東,0,0,0.57,0.4963
4953,緯軟,12.52,4.1,2.46,1.4684
4966,譜瑞-KY,24.28,2.02,4.98,1.2389
4971,IET-KY,33.84,1.96,1.3,1.5211
4972,湯石照明,29.31,7.26,1.18,0.5356
4973,廣穎,17.27,4.63,0.9,1.2893
4974,亞泰,9.98,6.12,1.57,1.1859
4979,華星光,0,0,1.98,1.7118
