證券代碼,證券名稱,本益比,殖利率,股價淨值比,CAPM_Beta.一年,調整_殖利率,調整_本益比,調整_淨值比,beta,labels,category
1310,台苯,9.34,4.81,1.17,0.9261,0.4056041563178889,-0.2306279090146123,-0.29635243802208044,0.15489656627512513,0,0
1312,國喬,6.32,0.0,0.54,1.1856,-1.1892836458640592,-0.2614829524290055,-0.6159217488370007,0.8150559258775691,1,1
1313,聯成,0.0,2.13,0.61,0.9789,-0.48302355882714665,-0.32605377175978856,-0.5804140476353428,0.28921800822891713,1,1
1314,中石化,12.39,3.97,0.32,0.8731,0.12707905157093746,-0.19946635854643374,-0.727517381185068,0.020066330980598825,0,0
1315,達新,12.85,7.78,1.07,0.5495,1.390389348101753,-0.19476658372172484,-0.3470777254530201,-0.8031612943271119,0,0
1316,上曜,0.0,19.23,0.97,1.2092,5.186951787807223,-0.32605377175978856,-0.39780301288395986,0.8750935400841886,0,0
1319,東陽,10.04,5.33,0.91,1.1144,0.5780244592564779,-0.22347607775962053,-0.4282381853425237,0.6339254965762436,0,0
1321,大洋,53.58,0.0,1.18,1.0045,-1.1892836458640592,0.2213678263008693,-0.29127990927898656,0.3543435558428768,1,1
1323,永裕,9.84,5.06,1.41,0.618,0.488498532730672,-0.2255194581181896,-0.17461174818782516,-0.628899575125696,0,0
1324,地球,204.0,3.68,0.63,0.4781,0.030921574932109102,1.7581941939806782,-0.570268990149155,-0.9848005169691716,4,4
1326,台化,13.44,5.56,1.12,0.948,0.6542872855562382,-0.1887386116639461,-0.32171508173755026,0.21060943708550459,0,0
1337,再生-KY,0.0,0.0,0.15,1.0033,-1.1892836458640592,-0.32605377175978856,-0.8137503698176656,0.3512907957984728,1,1
1338,廣華-KY,10.02,7.31,0.63,1.4455,1.2345479204457206,-0.22368041579547743,-0.570268990149155,1.4762328721614815,0,0
1339,昭輝,7.91,4.98,0.85,1.3185,0.46197233227858175,-0.24523807857838126,-0.45867335780108753,1.1531491007953527,1,1
1340,勝悅-KY,0.0,12.9,0.23,1.1526,3.088066177035552,-0.32605377175978856,-0.7731701398729138,0.7311050246564493,0,0
1341,富林-KY,10.37,8.47,2.38,0.0909,1.6191778270010344,-0.22010450016798155,0.3174235398922902,-1.9698244246303138,0,0
1402,遠東新,11.82,6.32,0.62,0.8205,0.9062861898510993,-0.20528999256835564,-0.575341518892249,-0.11374631763245918,0,0
1409,新纖,9.23,5.37,0.55,0.8387,0.5912875594825232,-0.2317517682118253,-0.6108492200939066,-0.06744612362565963,0,0
